DATE,EVENT
24/12/12,SCHOOL
25/12/12,SCHOOL
26/12/12,SCHOOL
27/12/12,SCHOOL
28/12/12,SCHOOL
29/12/12,SCHOOL
30/12/12,SCHOOL
31/12/12,SCHOOL
1/1/13,SCHOOL
2/1/13,SCHOOL
3/1/13,SCHOOL
4/1/13,SCHOOL
5/1/13,SCHOOL
6/1/13,SCHOOL
7/1/13,SCHOOL
8/1/13,SCHOOL
9/1/13,SCHOOL
10/1/13,SCHOOL
11/1/13,SCHOOL
12/1/13,SCHOOL
13/1/13,SCHOOL
14/1/13,SCHOOL
15/1/13,SCHOOL
16/1/13,SCHOOL
17/1/13,SCHOOL
18/1/13,SCHOOL
19/1/13,SCHOOL
20/1/13,SCHOOL
21/1/13,SCHOOL
22/1/13,SCHOOL
23/1/13,SCHOOL
24/1/13,SCHOOL
25/1/13,SCHOOL
26/1/13,SCHOOL
27/1/13,SCHOOL
28/1/13,SCHOOL
15/4/13,SCHOOL
16/4/13,SCHOOL
17/4/13,SCHOOL
18/4/13,SCHOOL
19/4/13,SCHOOL
20/4/13,SCHOOL
21/4/13,SCHOOL
22/4/13,SCHOOL
23/4/13,SCHOOL
24/4/13,SCHOOL
25/4/13,SCHOOL
26/4/13,SCHOOL
8/7/13,SCHOOL
9/7/13,SCHOOL
10/7/13,SCHOOL
11/7/13,SCHOOL
12/7/13,SCHOOL
13/7/13,SCHOOL
14/7/13,SCHOOL
15/7/13,SCHOOL
16/7/13,SCHOOL
17/7/13,SCHOOL
18/7/13,SCHOOL
19/7/13,SCHOOL
30/9/13,SCHOOL
1/10/13,SCHOOL
2/10/13,SCHOOL
3/10/13,SCHOOL
4/10/13,SCHOOL
5/10/13,SCHOOL
6/10/13,SCHOOL
7/10/13,SCHOOL
8/10/13,SCHOOL
9/10/13,SCHOOL
10/10/13,SCHOOL
11/10/13,SCHOOL
16/12/13,SCHOOL
17/12/13,SCHOOL
18/12/13,SCHOOL
19/12/13,SCHOOL
20/12/13,SCHOOL
21/12/13,SCHOOL
22/12/13,SCHOOL
23/12/13,SCHOOL
24/12/13,SCHOOL
25/12/13,SCHOOL
26/12/13,SCHOOL
27/12/13,SCHOOL
28/12/13,SCHOOL
29/12/13,SCHOOL
30/12/13,SCHOOL
31/12/13,SCHOOL
1/1/14,SCHOOL
2/1/14,SCHOOL
3/1/14,SCHOOL
4/1/14,SCHOOL
5/1/14,SCHOOL
6/1/14,SCHOOL
7/1/14,SCHOOL
8/1/14,SCHOOL
9/1/14,SCHOOL
10/1/14,SCHOOL
11/1/14,SCHOOL
12/1/14,SCHOOL
13/1/14,SCHOOL
14/1/14,SCHOOL
15/1/14,SCHOOL
16/1/14,SCHOOL
17/1/14,SCHOOL
18/1/14,SCHOOL
19/1/14,SCHOOL
20/1/14,SCHOOL
21/1/14,SCHOOL
22/1/14,SCHOOL
